"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 NR)","2022-Jul-10 08:17 ± < 00:01","383993","383987","8.30","8.17","25.9","18 m -   40 m","1"
"(2022 NS)","2022-Jul-10 17:33 ± < 00:01","1283030","1279334","11.88","11.85","26.9","11 m -   25 m","0"
"(2019 NW5)","2022-Jul-10 21:59 ± < 00:01","5721745","5721659","16.04","16.03","23.7","48 m -  110 m","0"
"(2022 NC1)","2022-Jul-11 02:22 ±    00:03","6482022","6383924","8.97","8.97","25.3","23 m -   52 m","0"
"(2022 NH)","2022-Jul-11 08:37 ± < 00:01","1503863","1501073","10.07","10.04","26.2","15 m -   34 m","0"
"(2015 OQ21)","2022-Jul-12 01:44 ±    00:21","7019487","7015284","6.57","6.56","27.9","7.0 m -   16 m","0"
"(2022 NF1)","2022-Jul-12 03:34 ± < 00:01","1955371","1951265","12.77","12.75","25.1","25 m -   56 m","0"
"(2022 NX)","2022-Jul-12 08:26 ± < 00:01","4401170","4395610","4.61","4.59","26.7","12 m -   28 m","0"
"(2022 OZ5)","2022-Jul-12 14:16 ±    00:08","4420692","4392885","12.16","12.15","25.0","27 m -   60 m","0"
"(2022 OF1)","2022-Jul-12 19:04 ±    00:06","5236581","5126647","19.26","19.25","24.6","32 m -   71 m","0"
"(2022 OJ6)","2022-Jul-13 17:08 ± < 00:01","6178228","6160089","6.90","6.90","24.9","28 m -   63 m","0"
"(2022 OQ)","2022-Jul-14 13:41 ±    00:04","2350804","2330934","8.54","8.52","24.9","28 m -   62 m","0"
"(2022 NY)","2022-Jul-14 16:18 ±    00:01","2761519","2727915","8.20","8.19","25.7","19 m -   43 m","0"
"(2022 NC)","2022-Jul-14 18:37 ± < 00:01","2910705","2898684","7.46","7.44","25.1","25 m -   55 m","0"
"(2022 NJ)","2022-Jul-15 01:07 ± < 00:01","1310021","1309883","8.94","8.91","25.9","17 m -   39 m","0"
"(2022 OO)","2022-Jul-15 06:33 ±    00:01","668626","666720","6.95","6.87","24.3","37 m -   83 m","2"
"(2022 OR1)","2022-Jul-15 18:17 ± < 00:01","346612","346495","4.68","4.43","28.0","6.8 m -   15 m","0"
"(2022 OE)","2022-Jul-16 03:23 ± < 00:01","3406681","3404113","3.20","3.16","25.6","20 m -   45 m","0"
"(2022 LR1)","2022-Jul-16 11:56 ± < 00:01","3560229","3559921","4.69","4.66","24.5","34 m -   75 m","0"
"(2022 OZ1)","2022-Jul-17 01:43 ±    00:04","4145108","4112913","12.67","12.67","23.6","51 m -  110 m","0"
"(2022 OF)","2022-Jul-17 02:21 ±    00:01","1132001","1118786","12.48","12.45","26.3","15 m -   33 m","0"
"(2022 KY4)","2022-Jul-17 15:42 ± < 00:01","6095256","6094791","7.55","7.54","23.0","66 m -  150 m","0"
"(2022 OU3)","2022-Jul-17 22:40 ±    00:02","752910","748704","4.82","4.71","25.1","26 m -   57 m","1"
"(2022 OC5)","2022-Jul-17 23:58 ± < 00:01","1806641","1801541","10.09","10.07","27.1","9.9 m -   22 m","0"
"(2021 OT)","2022-Jul-17 23:59 ±    01:16","6314636","5866605","11.25","11.24","26.2","15 m -   34 m","0"
"(2022 OT)","2022-Jul-19 03:09 ± < 00:01","820733","818766","8.50","8.45","27.9","7.0 m -   16 m","0"
"(2022 OD)","2022-Jul-19 04:56 ± < 00:01","755783","753554","12.71","12.66","25.4","22 m -   50 m","1"
"349068 (2006 YT13)","2022-Jul-19 22:42 ± < 00:01","6758151","6758150","22.94","22.94","18.3","0.496±0.129 km","2"
"(2022 OL1)","2022-Jul-20 10:36 ±    00:02","531561","530827","5.97","5.84","27.6","8.1 m -   18 m","0"
"(2022 OG3)","2022-Jul-20 17:59 ±    00:07","1070921","1066458","7.35","7.30","27.0","11 m -   24 m","0"
